City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
257,Kaka,TM,37.3482,59.6143,32.9,63,2,5.46,clear sky
258,Martos,ES,37.7211,-3.9726,42.89,71,10,3.0,clear sky
259,Rocky Mountain House,CA,52.3668,-114.9188,42.55,65,96,2.3,overcast clouds
260,Samarina,RU,57.8878,27.8054,1.29,98,92,1.79,overcast clouds
261,Rudbar,AF,30.15,62.6,37.83,52,0,5.17,clear sky
262,Dongkan,CN,33.9997,119.8308,41.14,82,100,15.97,light rain
263,Ucluelet,CA,48.9329,-125.5528,38.08,79,100,1.95,overcast clouds
264,Bilma,NE,18.6853,12.9164,54.16,26,22,11.18,few clouds
265,Yala,TH,6.3333,101.25,86.47,55,42,4.03,scattered clouds
266,Sinnamary,GF,5.3833,-52.95,75.34,88,91,5.14,overcast clouds
267,Brae,GB,60.3964,-1.353,48.11,91,96,26.87,overcast clouds
268,Shahrud,IR,36.4182,54.9763,24.24,40,0,2.3,clear sky
269,Saint-Francois,FR,46.4154,3.9054,36.48,92,100,2.3,mist
270,Seoul,KR,37.5683,126.9778,45.36,42,75,8.05,broken clouds
271,Samarai,PG,-10.6167,150.6667,83.84,74,96,3.83,overcast clouds
272,Cortez,US,37.3489,-108.5859,35.42,68,0,6.91,clear sky
273,Navolato,MX,24.7672,-107.6944,62.78,88,1,2.48,clear sky
274,Tonj,SS,7.2737,28.6822,71.89,32,78,4.03,broken clouds
275,Rio Frio,MX,19.35,-98.6667,52.02,66,33,3.38,scattered clouds
276,Coos Bay,US,43.3665,-124.2179,49.14,92,2,6.71,clear sky
277,Kalmunai,LK,7.4167,81.8167,77.58,67,6,2.68,clear sky
278,Alice Springs,AU,-23.7,133.8833,96.22,43,40,1.01,scattered clouds
279,Arraial Do Cabo,BR,-22.9661,-42.0278,75.0,89,84,17.63,broken clouds
280,Chingirlau,KZ,51.095,54.0814,6.31,82,100,8.41,overcast clouds
281,Revelstoke,CA,50.9832,-118.2023,30.22,100,100,3.44,mist
282,Road Town,VG,18.4167,-64.6167,75.99,69,3,17.22,clear sky
283,Qaqortoq,GL,60.7167,-46.0333,12.7,62,100,12.33,overcast clouds
284,Bahia Blanca,AR,-38.7196,-62.2724,73.98,74,5,9.93,clear sky
285,Mayo,US,38.8876,-76.5119,29.19,66,0,1.01,clear sky
286,Capitan Bado,PY,-23.2667,-55.5333,78.51,45,0,5.06,clear sky
287,Kidodi,TZ,-7.6036,37.0044,71.53,99,100,0.45,light rain
288,Malanje,AO,-9.5402,16.341,62.76,73,100,2.06,overcast clouds
289,Mushie,CD,-3.0167,16.9,70.9,87,100,2.75,overcast clouds
290,Yar-Sale,RU,66.8333,70.8333,-0.17,100,95,1.1,overcast clouds
291,Koygorodok,RU,60.445,50.9968,12.94,95,97,4.79,overcast clouds
292,Yulara,AU,-25.2406,130.9889,96.64,23,0,6.91,clear sky
293,Khash,IR,28.2211,61.2158,36.12,25,0,3.13,clear sky
294,Sioux Lookout,CA,50.1001,-91.917,-16.22,76,0,3.44,clear sky
295,Vega De Alatorre,MX,20.0333,-96.6333,59.18,87,94,11.88,overcast clouds
296,Azanka,RU,58.0401,64.7893,1.31,98,39,5.03,scattered clouds
297,Ilo,PE,-17.6394,-71.3375,70.97,87,100,6.35,overcast clouds
298,Shingu,JP,33.7333,135.9833,49.19,75,100,2.62,overcast clouds
299,Lompoc,US,34.6391,-120.4579,55.92,68,0,3.44,clear sky
300,Ketchikan,US,55.3422,-131.6461,43.27,93,100,16.11,heavy intensity rain
301,Stony Plain,CA,53.5334,-114.0021,42.66,79,86,10.51,overcast clouds
302,Porto Velho,BR,-8.7619,-63.9039,73.45,94,0,0.0,clear sky
303,Ambulu,ID,-8.345,113.6058,84.81,70,97,8.12,overcast clouds
304,Nabire,ID,-3.3667,135.4833,86.4,65,77,4.99,broken clouds
305,Szamotuly,PL,52.612,16.5779,30.97,94,90,3.76,overcast clouds
306,Pisco,PE,-13.7,-76.2167,69.85,83,0,4.61,clear sky
307,San Andres,CO,12.5847,-81.7006,80.62,78,40,8.05,scattered clouds
308,Broken Hill,AU,-31.95,141.4333,82.11,36,100,10.36,light rain
309,Lagoa,PT,39.05,-27.9833,58.75,57,100,5.32,overcast clouds
310,Saint John,CA,45.2727,-66.0677,14.0,88,100,4.61,light snow
311,Shache,CN,38.4167,77.2406,29.41,39,100,4.27,overcast clouds
312,Pyatnitskoye,RU,50.4233,37.8273,7.34,100,91,2.21,overcast clouds
313,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,77.86,50,0,3.96,clear sky
314,Twentynine Palms,US,34.1356,-116.0542,60.66,24,59,1.99,broken clouds
315,Trincomalee,LK,8.5711,81.2335,76.28,69,55,7.31,broken clouds
316,Dingle,PH,10.9995,122.6711,85.21,65,50,11.18,scattered clouds
317,Praia Da Vitoria,PT,38.7333,-27.0667,56.75,94,75,5.5,broken clouds
318,Atar,MR,20.5169,-13.0499,68.04,16,84,5.57,broken clouds
319,Krasnoselkup,RU,65.7,82.4667,9.36,95,100,14.07,light snow
320,Yerbogachen,RU,61.2767,108.0108,-2.6,99,98,5.01,overcast clouds
321,Cheney,US,47.4874,-117.5758,33.75,96,100,0.0,fog
322,Morehead,US,37.2711,-87.1764,28.15,66,0,1.01,clear sky
323,Marquette,US,46.5333,-87.6335,8.76,72,100,7.52,overcast clouds
324,Verkhnetulomskiy,RU,68.6073,31.7962,24.93,86,100,14.12,overcast clouds
325,Deputatskiy,RU,69.3,139.9,-16.83,96,98,5.88,overcast clouds
326,Mananara,MG,-16.1667,49.7667,75.34,93,99,1.43,overcast clouds
327,Nusaybin,TR,37.0778,41.2178,32.54,73,3,8.86,clear sky
